region/code;city/code;city/jp;city/en;noCode;code;name;eng;latitude;longitude;arv
511;2610200;京都上京区;Kyōto-shi Kamigyō-ku;5110141;2610241;京都上京区今出川御前;Kyōto-shi Kamigyō-ku Imadegawaonmae;35.0281;135.7342;0.899
511;2610300;京都左京区;Kyōto-shi Sakyō-ku;5110221;2610321;京都左京区広河原能見町;Kyōto-shi Sakyō-ku Hirogawaranōmi-chō;35.2494;135.7667;0.569
511;2610300;京都左京区;Kyōto-shi Sakyō-ku;5110240;2610340;京都左京区田中;Kyōto-shi Sakyō-ku Tanaka;35.0361;135.7808;1.182
511;2610300;京都左京区;Kyōto-shi Sakyō-ku;5110241;2610341;京都左京区鞍馬;Kyōto-shi Sakyō-ku Kurama;35.1053;135.7636;0.569
511;2610300;京都左京区;Kyōto-shi Sakyō-ku;5110242;2610342;京都左京区花脊;Kyōto-shi Sakyō-ku Hanase;35.2103;135.7744;0.569
511;2610300;京都左京区;Kyōto-shi Sakyō-ku;5110243;2610343;京都左京区岩倉;Kyōto-shi Sakyō-ku Iwakura;35.0675;135.7761;1.136
511;2610300;京都左京区;Kyōto-shi Sakyō-ku;5110244;2610344;京都左京区大原;Kyōto-shi Sakyō-ku Ōhara;35.1131;135.8256;0.788
511;2610400;京都中京区;Kyōto-shi Nakagyō-ku;5110300;2610400;京都中京区西ノ京;Kyōto-shi Nakagyō-ku Nishinokyō;35.0153;135.7331;1.237
511;2610400;京都中京区;Kyōto-shi Nakagyō-ku;5110340;2610440;京都中京区河原町御池;Kyōto-shi Nakagyō-ku Kawara-machi Oike;35.0122;135.7683;1.229
511;2610500;京都東山区;Kyōto-shi Higashi-yama-ku;5110440;2610540;京都東山区清水;Kyōto-shi Higashi-yama-ku Kiyomizu;34.9967;135.7764;1.179
511;2610600;京都下京区;Kyōto-shi Shimogyō-ku;5110540;2610640;京都下京区河原町塩小路;Kyōto-shi Shimogyō-ku Kawara-machi Shiokōji;34.9875;135.7647;1.250
511;2610700;京都南区;Kyōto-shi Minami-ku;5110640;2610740;京都南区西九条;Kyōto-shi Minami-ku Nishi-9-jō;34.9733;135.7467;1.312
511;2610800;京都右京区;Kyōto-shi Ukyō-ku;5110730;2610830;京都右京区京北周山町;Kyōto-shi Ukyō-ku Keihokushūyama-chō;35.1558;135.6328;0.928
511;2610800;京都右京区;Kyōto-shi Ukyō-ku;5110741;2610841;京都右京区太秦;Kyōto-shi Ukyō-ku Uzumasa;35.0136;135.7081;1.000
511;2610800;京都右京区;Kyōto-shi Ukyō-ku;5110742;2610842;京都右京区嵯峨;Kyōto-shi Ukyō-ku Saga;35.0172;135.6828;1.216
511;2610800;京都右京区;Kyōto-shi Ukyō-ku;5110743;2610843;京都右京区嵯峨樒原;Kyōto-shi Ukyō-ku Sagashikimigahara;35.0747;135.6108;0.710
511;2610900;京都伏見区;Kyōto-shi Fushimi-ku;5110840;2610940;京都伏見区竹田;Kyōto-shi Fushimi-ku Takeda;34.9558;135.7597;2.074
511;2610900;京都伏見区;Kyōto-shi Fushimi-ku;5110841;2610941;京都伏見区醍醐;Kyōto-shi Fushimi-ku Daigo;34.9478;135.8092;2.038
511;2610900;京都伏見区;Kyōto-shi Fushimi-ku;5110842;2610942;京都伏見区向島;Kyōto-shi Fushimi-ku Mukaijima;34.9203;135.7739;2.144
511;2610900;京都伏見区;Kyōto-shi Fushimi-ku;5110843;2610943;京都伏見区淀;Kyōto-shi Fushimi-ku Yodo;34.9056;135.7217;2.122
511;2610900;京都伏見区;Kyōto-shi Fushimi-ku;5110844;2610944;京都伏見区久我;Kyōto-shi Fushimi-ku Koga;34.9358;135.7281;2.167
511;2611000;京都山科区;Kyōto-shi Yamashina-ku;5110920;2611020;京都山科区安朱川向町;Kyōto-shi Yamashina-ku Anshukawamukai-chō;34.9961;135.8186;1.135
511;2611000;京都山科区;Kyōto-shi Yamashina-ku;5110940;2611040;京都山科区西野;Kyōto-shi Yamashina-ku Nishino;34.9858;135.8114;1.990
511;2611100;京都西京区;Kyōto-shi Nishikyō-ku;5111040;2611140;京都西京区樫原;Kyōto-shi Nishikyō-ku Katagihara;34.975;135.6944;1.262
511;2611100;京都西京区;Kyōto-shi Nishikyō-ku;5111041;2611141;京都西京区大枝;Kyōto-shi Nishikyō-ku Ōe;34.9692;135.675;1.010
511;2620400;宇治市;Uji-shi;5111100;2620400;宇治市宇治琵琶;Uji-shi Ujibiwa;34.8836;135.7994;1.031
511;2620400;宇治市;Uji-shi;5111120;2620420;宇治市折居台;Uji-shi Oriidai;34.8783;135.8044;1.025
511;2620600;亀岡市;Kameoka-shi;5111200;2620600;亀岡市安町;Kameoka-shi Yasu-machi;35.0128;135.5733;1.022
511;2620600;亀岡市;Kameoka-shi;5111220;2620620;亀岡市余部町;Kameoka-shi Amarube-chō;35.0169;135.5636;1.961
511;2620700;城陽市;Jōyō-shi;5111331;2620731;城陽市寺田;Jōyō-shi Terada;34.8531;135.78;1.283
511;2620800;向日市;Hikō-shi;5111430;2620830;向日市寺戸町;Hikō-shi Terado-chō;34.9483;135.6981;1.221
511;2620900;長岡京市;Nagaokakyō-shi;5111530;2620930;長岡京市開田;Nagaokakyō-shi Kaiden;34.9267;135.6956;1.259
511;2621000;八幡市;Yawata-shi;5111630;2621030;八幡市八幡;Yawata-shi Yawata;34.8744;135.7069;2.059
511;2630300;大山崎町;Ōyamazaki-chō;5111730;2630330;大山崎町円明寺;Ōyamazaki-chō Enmyōji;34.9022;135.6881;2.074
511;2632200;久御山町;Kumiyama-chō;5111830;2632230;久御山町田井;Kumiyama-chō Tai;34.8819;135.7319;2.123
511;2621100;京田辺市;Kyōtanabe-shi;5111930;2621130;京田辺市田辺;Kyōtanabe-shi Tanabe;34.8139;135.7686;1.207
511;2634300;井手町;Ide-chō;5112030;2634330;井手町井手;Ide-chō Ide;34.7981;135.8031;2.027
511;2634400;宇治田原町;Uji-tawara-chō;5112131;2634431;宇治田原町立川;Uji-tawara-chō Tachikawa;34.8444;135.8678;1.003
511;2636400;笠置町;Kasagi-chō;5112530;2636430;笠置町笠置;Kasagi-chō Kasagi;34.7603;135.9392;0.569
511;2636500;和束町;Wazuka-chō;5112630;2636530;和束町釜塚;Wazuka-chō Kamatsuka;34.7956;135.9047;1.055
511;2636600;精華町;Seika-chō;5112731;2636631;精華町南稲八妻;Seika-chō Minami-inayazuma;34.7611;135.7856;1.204
511;2636700;南山城村;Minami-yamashiro-mura;5112830;2636730;南山城村北大河原;Minami-yamashiro-mura Kita-ōgawara;34.7725;135.9936;0.875
511;2640700;京丹波町;Kyōtamba-chō;5113500;2640700;京丹波町坂原;Kyōtamba-chō Sakabara;35.2856;135.3986;0.569
511;2640700;京丹波町;Kyōtamba-chō;5113531;2640731;京丹波町橋爪;Kyōtamba-chō Hashizume;35.1778;135.3744;0.973
511;2640700;京丹波町;Kyōtamba-chō;5113532;2640732;京丹波町本庄;Kyōtamba-chō Honjō;35.2603;135.3964;0.847
511;2640700;京丹波町;Kyōtamba-chō;5113533;2640733;京丹波町蒲生;Kyōtamba-chō Komo;35.1722;135.4192;0.847
511;2621300;南丹市;Nantan-shi;5113630;2621330;南丹市美山町島;Nantan-shi Miyama-chō Shima;35.2717;135.5492;0.816
511;2621300;南丹市;Nantan-shi;5113631;2621331;南丹市園部町小桜町;Nantan-shi Sonobe-chō Kosakura-machi;35.1075;135.4706;1.031
511;2621300;南丹市;Nantan-shi;5113633;2621333;南丹市日吉町保野田;Nantan-shi Hiyoshi-chō Honda;35.1644;135.5019;0.922
